"";"max_depth";"max_features";"min_impurity_decrease";"min_samples_leaf";"min_samples_split";"min_weight_fraction_leaf";"dataset";"metric"
"1";9;0,931700413699785;0,0630568298922734;0,0178265660783305;0,0103930066628425;0,0103408612687428;"boston";"mae"
"2";7;0,774828416098619;0,168489023018817;0,0153022143496456;0,0261101190016006;0,0202559872273642;"boston";"mse"
"3";10;0,252218349996235;0,00689017849491693;0,0136703427973084;0,0209132580143926;0,0122693270022618;"breast";"acc"
"4";3;0,198740985648871;0,00922901060819953;0,0326724381500019;0,0188501100040619;0,036759181018894;"breast";"nll"
"5";6;0,202047398163113;0,000734797479325505;0,0127367158068451;0,118157327503469;0,0118778925893802;"clf-1";"acc"
"6";12;0,932598671535655;0,00162336969816512;0,0167750723912168;0,0813106267294652;0,101281183746077;"clf-1";"nll"
"7";15;0,921455536758042;0,000563245647478819;0,0116010117967503;0,0122539440034358;0,0101275649394743;"clf-2";"acc"
"8";4;0,842092212067388;0,000208005988042744;0,0113449888369508;0,108505207132476;0,0101319528704087;"clf-2";"nll"
"9";12;0,97992849259163;0;0,0199508103651319;0,742769323346019;0,0199508103651319;"clf-3";"acc"
"10";9;0,469375329232339;0,000432354822880574;0,0173124754382443;0,944271570951138;0,0198851781460129;"clf-3";"nll"
"11";15;0,648203006191039;0,00581531091711727;0,0940594809777237;0,0157185480336191;0,0567703233310233;"clf-4";"acc"
"12";8;0,0116135617566052;0,00441843738079822;0,0255871756728247;0,013150003843743;0,0635565964342146;"clf-4";"nll"
"13";12;0,708357809675889;0,00743830298134435;0,020311131654655;0,0466046657668209;0,0306923151012117;"clf-5";"acc"
"14";4;0,549206076168725;0,00327031547911394;0,0149170148091285;0,0217627771758133;0,1875298105836;"clf-5";"nll"
"15";6;0,688382231299304;0,229286333457946;0,0203545942195897;0,0990604034713845;0,0648888013777052;"diabetes";"mae"
"16";6;0,907035658702132;0,248964484757592;0,0335455753201288;0,0317192322658591;0,0654335204787085;"diabetes";"mse"
"17";13;0,975161423993813;0,00192257938096779;0,0103910032376193;0,0144801959822161;0,0104995913800444;"digits";"acc"
"18";13;0,872954744793865;0,0295769748002448;0,0147646446975718;0,110938295726395;0,0443439024137972;"digits";"nll"
"19";12;0,784175368030817;0,0210814705324695;0,0180736304997294;0,20186677271338;0,02217058685508;"iris";"acc"
"20";15;0,987160261441593;0,00306199900280777;0,0123813458189704;0,302163506677337;0,0767837260031558;"iris";"nll"
"21";8;0,968358748527467;0,00612936091203824;0,0161170750023126;0,0120025757015886;0,0130162553542457;"wine";"acc"
"22";12;0,811621701914333;0,000328466151440443;0,043686631051619;0,0286913619549118;0,0257738246523062;"wine";"nll"
