"";"alpha";"batch_size";"beta_1";"beta_2";"epsilon";"hidden_layer_sizes";"learning_rate_init";"tol";"validation_fraction";"dataset";"metric"
"1";2,29147239840975e-05;35;0,983146405070738;0,99174089832206;3,59544375209887e-08;189;0,0136779431431437;0,000272717075926979;0,279970608995277;"boston";"mae"
"2";0,224637635233091;10;0,831716737954832;0,923853210251855;4,80705061673386e-07;162;0,0104347676608835;2,2121392793274e-05;0,17956380770733;"boston";"mse"
"3";0,0143844988828766;10;0,96726025410815;0,999993738243181;1e-09;89;0,000784759970351461;0,000112883789168469;0,181924303591025;"breast";"acc"
"4";0,00115500015358201;14;0,86025067823474;0,998397237737699;5,26018682021861e-09;77;0,0597613790075964;2,83110578043441e-05;0,399347592770382;"breast";"nll"
"5";5,33507176019613;217;0,871654516276168;0,904058555166776;5,38500440156435e-07;145;0,095843623988735;0,035385535206327;0,403848493240983;"clf-1";"acc"
"6";0,96998688324608;72;0,965455862995153;0,989186102643734;1,0501893384323e-08;168;0,00171822746548234;0,00348018095678579;0,103591852416294;"clf-1";"nll"
"7";0,43492308909006;238;0,889158211738947;0,999534346230631;3,12960154084995e-09;119;0,00152534529254396;0,00363768811850338;0,274608999998083;"clf-2";"acc"
"8";0,0229265783727652;17;0,951494908789948;0,995308457823869;1,03141549216417e-09;111;0,000286560622491896;1,24153981918545e-05;0,110882868028286;"clf-2";"nll"
"9";0,000403751393949712;129;0,589523989231232;0,950402677867154;8,51724794019545e-07;80;0,0422441836297402;0,00025000548640242;0,5219152049735;"clf-3";"acc"
"10";0,0772975605410401;21;0,982606242479131;0,999972989223314;1,39677696772207e-09;188;0,00377862031212325;0,0218327872276992;0,478501655902138;"clf-3";"nll"
"11";0,391702989189275;42;0,672708449063284;0,907907372419181;2,45594191580715e-07;139;0,0365214141942064;0,00705535102036562;0,291362873732572;"clf-4";"acc"
"12";1,47232762302227;61;0,769237836959464;0,960411308644001;7,44278812874815e-09;126;0,0583082344652356;0,0251142300331611;0,471769595022629;"clf-4";"nll"
"13";0,00334946343917649;44;0,530494572703401;0,913977354690998;2,16712592233049e-08;88;0,00480942457065063;0,00233223107557175;0,107538043204367;"clf-5";"acc"
"14";0,302756669598426;20;0,929677999417167;0,971228135500694;3,52195433723503e-07;77;0,0845930730307538;7,26386815838192e-05;0,14835935382723;"clf-5";"nll"
"15";0,000212287886594997;231;0,63781437417883;0,999941642939468;2,07077374168802e-08;194;0,0956505699597576;1,76425052101101e-05;0,303555699270776;"diabetes";"mae"
"16";0,00154977850707702;237;0,628640092747129;0,99782448093854;5,64691960154455e-07;187;0,0836435032812288;5,0132296877963e-05;0,189620963209563;"diabetes";"mse"
"17";1,02020156793413e-05;16;0,813013587476424;0,943384035826997;7,89329201771629e-07;152;0,000855322048241584;0,00183986153930758;0,141549588222207;"digits";"acc"
"18";0,156422399919436;33;0,816689968129474;0,999997978201359;2,41313747594949e-07;146;0,00906535688595944;0,000843176316294244;0,171431999392176;"digits";"nll"
"19";9,48377896479564;31;0,580454435232501;0,94000120409436;4,78971963659028e-08;94;0,0323170505331814;0,00243685100359394;0,163769761723745;"iris";"acc"
"20";0,0025091567184163;11;0,989935326444945;0,99992874548123;6,12429782096273e-07;134;0,0966442591631363;3,64031351178507e-05;0,306595990924964;"iris";"nll"
"21";0,0481659178389578;11;0,962496953693975;0,999942980568431;6,33268839983804e-09;139;0,0132756726571923;2,30939781582416e-05;0,281540615860473;"wine";"acc"
"22";0,000283570008627096;20;0,742230353303747;0,988983187335039;2,06305666539988e-09;181;0,0374954701163563;0,00191477546056637;0,531511390933456;"wine";"nll"
